". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"10","1,453.92","2,725.53","","",""
"11","55,075.5","102,186","72,918.6","107,974","15,577"
"12","67,722.4","86,847.3","72,900.4","73,824.1","26,489.8"
"13","25,954.3","32,445.9","26,595.4","55,099.3","14,874.1"
"14","322,178","490,013","347,136","445,023","68,162.9"
"15","14,527.1","24,015.2","24,334.1","31,635.3",""
"16","168,278","476,320","323,132","504,527","21,036.4"
"17","27,454.9","48,904.6","36,515","56,650.7","3,902.97"
"18","493,754","1156185","960,317","846,489","36,867.3"
"19","58,441.3","111,013","80,971.6","73,334.2","6,302.95"
"20","23,152","30,594.5","26,706.8","32,665.9","3,636.24"
"21","10,136","30,831.1","25,497.8","23,022.1","3,881.84"
"22","13,657.8","14,145.8","15,276.4","20,012.5","3,756.55"
"23","36,032.7","128,639","70,559.4","107,051","14,056"
"24","33,137.9","93,400.9","44,653.3","114,484","16,220.5"
"25","35,356.8","86,708.5","53,326.4","97,796.2","11,481.5"
"26","203,846","377,862","220,884","366,363","75,615.1"
"27","53,884.9","117,927","75,379.2","152,257","24,417.8"
"28","20,765.9","50,699.9","38,078.2","79,516.8","17,021.4"
"29","28,718.6","64,422","57,171.8","70,113.3","12,538.9"
"30","10,302.8","13,407.4","7,538.28","22,899.6","1,252.3"
"31","21,402","40,555.2","29,616.3","72,338.4","11,754.4"
"32","87,529.3","196,902","110,982","190,350","32,109.8"
"33","1,379.49","5,308.66","2,395.66","8,732.15",""
"34","78,910.8","196,298","141,749","196,725","2,522.19"
"35","17,625.2","51,827.5","29,685.9","47,192.6","10,212.5"
"36","18,119.9","67,696.4","25,037.2","74,430.4","9,029.35"
"37","13,140.2","43,071.6","27,969.9","49,229.3","10,137.3"
"38","20,884.8","72,819.8","30,854.6","61,325.4","10,486.6"
"39","29,522.2","83,005.7","68,838.9","92,759.6","20,806.1"
"40","20,570","44,494.1","15,851.9","51,417.7","8,119.23"
"41","27,671.3","71,916.9","26,356.4","87,995.3","14,340"
"42","21,330.5","67,308.3","29,086.9","85,101.2","9,160.2"
"43","4,166.14","20,123","13,139.5","18,313.9","2,519.94"
"44","36,949.2","48,558.2","25,157.2","59,506","11,372.1"
"45","7,917.42","28,922.5","17,468.7","25,196.7","4,846.1"
"46","8,700.29","35,595","17,184","16,780.1","3,800.45"
"47","13,776.2","39,699.2","23,635.1","40,942","8,633.22"
"48","6,494.97","9,573.19","6,619.11","6,462.44",""
"49","2,641.15","9,335.43","7,288.5","12,642.1",""
"50","41,063.4","111,525","74,127.1","125,187","16,320"
"51","31,269.5","93,917.4","64,261.9","103,842","27,180.1"
"52","13,147.9","3,976.14","6,173.98","11,417.4","1,208.47"
"53","34,697.8","119,890","77,521.3","147,448","22,805.7"
"54","91,061.9","218,658","114,207","259,353","37,513.6"
"55","4,120.26","9,298.21","4,693.25","10,261.5","2,598.99"
"56","139,518","460,894","244,350","528,337","67,907.4"
"57","","","1,143.95","3,636.71","1,176.32"
"58","26,781.6","70,058","83,877.2","88,765.2","74,110.2"
"59","35,784.4","86,036.6","86,923","162,851","74,453.4"
"60","9,337.19","21,770.2","17,997.6","32,452.6","14,416.4"
"61","46,353.6","141,795","67,013.1","170,195","36,626"
"62","24,478.1","67,327.3","31,078.8","74,428.9","14,149"
"63","16,335.9","46,964.4","26,900.2","54,081.6","7,387.49"
"64","162,649","247,293","212,269","260,055","34,138"
"65","244,784","491,487","317,169","433,577","172,981"
"66","7,621.59","39,761.1","36,038.5","77,469.9","10,667.4"
"67","170,912","464,962","245,567","581,222","73,769"
"68","62,817.2","142,143","63,846.4","144,003","26,531.6"
"69","5655619","5750945","3492553","2978363","318,114"
"70","640,774","1157632","702,085","1126022","221,452"
"71","29,699","31,581","17,369.6","47,936.9","16,423.9"
"72","6850108","3176482","1759757","710,021","90,885.2"
"73","2566293","3231403","2395215","2345853","1491919"
"74","222,917","239,171","179,150","125,567","8,647.19"
"75","47,163.4","34,268.6","33,820.1","30,001.7","9,321.61"
"76","513,371","588,178","365,328","389,016","59,564.6"
"78","219,782","398,813","291,559","478,365","195,137"
"79","207,321","440,226","283,708","544,107","191,333"
"110","600,455","754,186","589,667","510,166","384,468"
"111","1661109","2864763","2098724","2410213","542,826"

". tab min_allwage_b"
"_b","Freq.","Percent","Cum."
"0","36,713","20.28","20.28"
"1567","35,142","19.42","39.70"
"6751","35,908","19.84","59.54"
"15670","36,323","20.07","79.61"
"32502.63","36,911","20.39","100.00"
"Total","180,997","100.00",""

". tab max_allwage_b"
"_b","Freq.","Percent","Cum."
"1566.895","36,687","20.27","20.27"
"6750","35,142","19.42","39.69"
"15668.95","35,908","19.84","59.52"
"32500","36,323","20.07","79.59"
"47006.86","26","0.01","79.61"
"261149.2","36,911","20.39","100.00"
"Total","180,997","100.00",""

". tab min_allwage_m"
"_m","Freq.","Percent","Cum."
"0","91,892","50.77","50.77"
"2905","21,488","11.87","62.64"
"9168","22,032","12.17","74.81"
"24010","23,403","12.93","87.74"
"40005","22,182","12.26","100.00"
"Total","180,997","100.00",""

". tab max_allwage_m"
"_m","Freq.","Percent","Cum."
"2903.979","22,558","12.46","12.46"
"9164","21,488","11.87","24.34"
"24000","22,032","12.17","36.51"
"40000","23,403","12.93","49.44"
"261149.2","91,516","50.56","100.00"
"Total","180,997","100.00",""

". tab min_allwage_f"
"_f","Freq.","Percent","Cum."
"0","125,664","69.43","69.43"
"901","13,505","7.46","76.89"
"3977","13,579","7.50","84.39"
"8945","14,386","7.95","92.34"
"20005","13,863","7.66","100.00"
"Total","180,997","100.00",""

". tab max_allwage_f"
"_f","Freq.","Percent","Cum."
"900","13,975","7.72","7.72"
"3975","13,505","7.46","15.18"
"8940","13,579","7.50","22.68"
"20000","14,386","7.95","30.63"
"261149.2","125,552","69.37","100.00"
"Total","180,997","100.00",""

